run,channel,idx,arch,subset_size,n_slice_rows,bh76_mae_nn,bh76_mae_pbe,bh76_n,w411_mae_nn,w411_mae_pbe,w411_n,combined_mae_nn,combined_mae_pbe,combined_n
run_20260810T202813Z,eval_holdout_val_best,41,deep_rung35_3x16,15,120,5.35113253025578,6.628451441313337,38,16.998995926292956,13.826366600165837,81,13.279510135961756,11.527872683893612,119
run_20260810T202813Z,eval_holdout_val_best,42,deep_rung35_3x16,18,120,5.92036084085894,6.628451441314276,38,17.452612801651057,13.826366600164958,81,13.770044948625005,11.527872683893312,119
run_20260810T202813Z,eval_holdout_val_best,43,deep_rung35_3x16,26,120,5.423348743330593,6.628451441309582,38,12.390697598355452,13.826366600164958,81,10.165829896750875,11.527872683891811,119
run_20260810T202813Z,eval_holdout_val_best,44,deep_rung35_attn_3x16,1,120,16.815046920663924,6.628451441323193,38,39.41223268984158,13.826366600175469,81,32.19632462909578,11.527872683903315,119
run_20260810T202813Z,eval_holdout_val_best,45,deep_rung35_attn_3x16,2,120,6.9266672516602386,6.628451441296198,38,25.826247569096857,13.82636660016754,81,19.791087467730545,11.527872683889298,119
run_20260810T202813Z,eval_holdout_val_best,50,deep_rung35_attn_3x16,7,120,6.383514965754475,6.628451441312277,34,15.049876061646813,13.826366600151388,72,12.270099861077574,11.527872683883437,106
run_20260810T202813Z,eval_holdout_val_best,55,deep_rung35ms_3x16,1,120,31.302416444971136,6.628451441311107,37,183.72495991196402,13.826366600186812,80,135.52295898650473,11.527872683907177,117
run_20260810T202813Z,eval_holdout_val_best,56,deep_rung35ms_3x16,2,120,18.396947077601187,6.628451441340866,33,98.58659437166317,13.826366600172392,77,74.52970018344459,11.527872683906862,110
run_20260810T202813Z,eval_holdout_val_best,57,deep_rung35ms_3x16,3,120,12.164677452614173,6.6284514413560975,38,30.189554696220377,13.826366600214113,75,24.128091552352807,11.527872683940126,113
run_20260810T202813Z,eval_holdout_val_best,58,deep_rung35ms_3x16,4,120,10.796472773512454,6.6284514413325795,38,27.075154206010783,13.82636660018147,81,21.876919798994507,11.527872683910395,119
run_20260810T202813Z,eval_holdout_val_best,59,deep_rung35ms_3x16,5,120,9.110038480579314,6.628451441325091,36,37.72481587450592,13.826366600166388,78,28.688570381686993,11.527872683897739,114
run_20260810T202813Z,eval_holdout_val_best,60,deep_rung35ms_3x16,6,120,59.248510169449844,6.628451441339876,35,374.9141461889788,13.826366600166937,78,277.1416040590362,11.527872683902835,113
run_20260810T202813Z,eval_holdout_val_best,61,deep_rung35ms_3x16,7,120,192.2355459526183,6.628451441318254,38,181.48139355776345,13.826366600183643,78,185.00430554918142,11.5278726839073,116
run_20260827T163330Z,eval_holdout_val_best,0,medium,1,120,6.35206062005723,6.628451441344327,38,6.991743939437941,13.826366600151577,81,6.78747531644242,11.527872683893799,119
run_20260827T163330Z,eval_holdout_val_best,1,medium,2,120,5.914074290239319,6.628451441344327,38,12.62131526462312,13.826366600151577,81,10.479507222382916,11.527872683893799,119
run_20260827T163330Z,eval_holdout_val_best,2,medium,3,120,6.209537409324654,6.628451441344327,38,11.775037433719165,13.826366600151577,81,9.997818938534364,11.527872683893799,119
run_20260827T163330Z,eval_holdout_val_best,3,medium,4,120,6.079302601985024,6.628451441344327,38,12.426692863852296,13.826366600151577,81,10.39979513317199,11.527872683893799,119
run_20260827T163330Z,eval_holdout_val_best,4,medium,5,120,5.256394902950945,6.628451441344327,38,10.070290923056962,13.826366600151577,81,8.533080429241595,11.527872683893799,119
run_20260827T163330Z,eval_holdout_val_best,5,medium,6,120,5.772267222655215,6.628451441344327,38,11.352630024802822,13.826366600151577,81,9.570665432520395,11.527872683893799,119
run_20260827T163330Z,eval_holdout_val_best,6,medium,7,120,4.357687147709061,6.628451441344327,38,9.379426787605448,13.826366600151577,81,7.775846062260383,11.527872683893799,119
run_20260827T163330Z,eval_holdout_val_best,7,medium,12,120,5.9741294158472416,6.628451441344327,38,13.322902112936955,13.826366600151577,81,10.976235201261247,11.527872683893799,119
run_20260827T163330Z,eval_holdout_val_best,8,medium,15,120,4.283522116895295,6.628451441344327,38,10.388723449272444,13.826366600151577,81,8.439163359941926,11.527872683893799,119
run_20260827T163330Z,eval_holdout_val_best,9,medium,18,120,4.825146666566751,6.628451441344327,38,8.48065243118173,13.826366600151577,81,7.313348069371904,11.527872683893799,119
run_20260827T163330Z,eval_holdout_val_best,11,medium_attn,1,120,6.388767007971554,6.628451441344327,38,6.352241292149377,13.826366600151577,81,6.3639049661094,11.527872683893799,119
run_20260827T163330Z,eval_holdout_val_best,12,medium_attn,2,120,6.136632938627019,6.628451441344327,38,11.251316979748433,13.826366600151577,81,9.618056529642436,11.527872683893799,119
run_20260827T163330Z,eval_holdout_val_best,13,medium_attn,3,120,4.319509934527181,6.628451441344327,38,9.951871001421456,13.826366600151577,81,8.15330192123673,11.527872683893799,119
run_20260827T163330Z,eval_holdout_val_best,14,medium_attn,4,120,6.585629642309195,6.628451441344327,38,12.235436864296918,13.826366600151577,81,10.431296742989915,11.527872683893799,119
run_20260827T163330Z,eval_holdout_val_best,15,medium_attn,5,120,4.0574958957580485,6.628451441344327,38,10.36733106531429,13.826366600151577,81,8.352425717052633,11.527872683893799,119
run_20260827T163330Z,eval_holdout_val_best,16,medium_attn,6,120,4.016810188507025,6.628451441344327,38,10.347082355058586,13.826366600151577,81,8.32565090691607,11.527872683893799,119
run_20260827T163330Z,eval_holdout_val_best,17,medium_attn,7,120,5.071794282142104,6.628451441344327,38,7.836553748768501,13.826366600151577,81,6.953689381274357,11.527872683893799,119
run_20260827T163330Z,eval_holdout_val_best,18,medium_attn,12,120,5.150005816857157,6.628451441344327,38,10.332976415769778,13.826366600151577,81,8.677910174100202,11.527872683893799,119
run_20260827T163330Z,eval_holdout_val_best,19,medium_attn,15,120,5.140056924948297,6.628451441344327,38,8.906590402218697,13.826366600151577,81,7.703831812838232,11.527872683893799,119
run_20260827T163330Z,eval_holdout_val_best,20,medium_attn,18,120,5.309333744199546,6.628451441344327,38,7.430229933860318,13.826366600151577,81,6.752968965733349,11.527872683893799,119
run_20260827T163330Z,eval_holdout_val_best,21,medium_attn,26,120,5.5580938737532595,6.628451441344327,38,7.952883832941213,13.826366600151577,81,7.188160988830774,11.527872683893799,119
run_20260827T163330Z,eval_holdout_val_best,22,shallow,1,120,6.277572899893053,6.628451441344327,38,11.16637753080806,13.826366600151577,81,9.605246640263774,11.527872683893799,119
run_20260827T163330Z,eval_holdout_val_best,23,shallow,2,120,4.104760177189939,6.628451441344327,38,11.145058332277562,13.826366600151577,81,8.896895896199162,11.527872683893799,119
run_20260827T163330Z,eval_holdout_val_best,24,shallow,3,120,4.8528781107997725,6.628451441344327,38,9.242196228758825,13.826366600151577,81,7.840565233108035,11.527872683893799,119
run_20260827T163330Z,eval_holdout_val_best,25,shallow,4,120,5.357368785460731,6.628451441344327,38,9.741984893910663,13.826366600151577,81,8.341855380287996,11.527872683893799,119
run_20260827T163330Z,eval_holdout_val_best,26,shallow,5,120,5.124807616941162,6.628451441344327,38,9.392623386777549,13.826366600151577,81,8.029791460275174,11.527872683893799,119
run_20260827T163330Z,eval_holdout_val_best,27,shallow,6,120,4.802775976713318,6.628451441344327,38,9.555677541717957,13.826366600151577,81,8.037944268859333,11.527872683893799,119
run_20260827T163330Z,eval_holdout_val_best,28,shallow,7,120,4.2316626710326934,6.6284514413681315,38,11.482243756522598,13.8263666001251,81,9.166932149391368,11.52787268388338,119
run_20260827T163330Z,eval_holdout_val_best,29,shallow,12,120,4.592925311939562,6.6284514413681315,38,9.935693082610152,13.8263666001251,81,8.229599172648117,11.52787268388338,119
run_20260827T163330Z,eval_holdout_coldstart,0,medium,1,120,6.506451620597539,6.628451441344327,38,6.680082771066315,13.826366600151577,81,6.624637529740151,11.527872683893799,119
run_20260827T163330Z,eval_holdout_coldstart,1,medium,2,120,4.447503036647661,6.628451441344327,38,22.19303653045719,13.826366600151577,81,16.526395582854146,11.527872683893799,119
