leg,arch,subset_size,n_reactions,n_density_species,E_kcalmol,D_rmse,gamma,gammaD_kcalmol,ED_kcalmol,E_pbe_kcalmol,D_pbe_rmse,ED_pbe_kcalmol,beats_pbe,E_scan_kcalmol,D_scan_rmse,ED_scan_kcalmol,beats_scan,ED_pbe_cell_kcalmol,ED_scan_cell_kcalmol,n_reactions_slice,D_insample_rmse,n_insample_species
mae,medium,6,175,173,20.14335852600674,0.00023757488128562775,49700.33133432063,11.807550316607589,14.888072230613263,11.57390679263232,0.00023287383568487284,11.57390679263232,False,,,,,11.638754412661138,,175,8.994125924933925e-05,5
mae,medium,7,175,171,7.915794111871451,0.00022461791545277818,49700.33133432063,11.163584821627493,9.263261587960987,11.57390679263232,0.00023287383568487284,11.57390679263232,True,,,,,11.606798305232914,,175,0.00010298488080707395,6
mae,medium,12,169,165,8.759245463856695,0.0002401306413592853,49700.33133432063,11.934572439079398,10.103292682907318,11.57390679263232,0.00023287383568487284,11.57390679263232,True,,,,,11.546651747039057,,169,0.00011743104483682743,11
mae,medium,15,168,161,7.982720034679005,0.00023892662759519414,49700.33133432063,11.874732556072983,9.547313790487474,11.57390679263232,0.00023287383568487284,11.57390679263232,True,,,,,11.569328462206387,,168,0.0001099458869396512,14
mae,medium,18,166,160,8.72860836754352,0.00024085362691611098,49700.33133432063,11.970505060803562,10.095683662891613,11.57390679263232,0.00023287383568487284,11.57390679263232,True,,,,,11.446473291181952,,166,0.00012059918040718145,16
mae,medium,26,159,155,8.897560566706193,0.00022376838763196814,49700.33133432063,11.121363007455512,9.88594622249112,11.57390679263232,0.00023287383568487284,11.57390679263232,True,,,,,11.614574383532402,,159,0.00011767554734403918,22
mae,medium_attn,1,177,178,10.005618404315365,0.0004116148944073117,49700.33133432063,20.457396634184793,13.438519070334044,11.57390679263232,0.00023287383568487284,11.57390679263232,False,,,,,11.628227844495884,,177,7.518728932328337e-05,1
mae,medium_attn,2,177,176,8.595261696644085,0.00027928308629709085,49700.33133432063,13.880461925037078,10.616450417721753,11.57390679263232,0.00023287383568487284,11.57390679263232,True,,,,,11.556276701826851,,177,7.108225840938831e-05,3
mae,medium_attn,3,176,174,20.779488768976794,0.0002355386065663181,49700.33133432063,11.7063467883702,14.97587471224346,11.57390679263232,0.00023287383568487284,11.57390679263232,False,,,,,11.585989179645834,,176,8.954125520114657e-05,3
mae,medium_attn,4,175,173,9.207948142630528,0.0002409199185302424,49700.33133432063,11.97379977599058,10.410295489413947,11.57390679263232,0.00023287383568487284,11.57390679263232,True,,,,,11.630304551127976,,175,8.302729112379848e-05,4
mae,medium_attn,5,176,174,14.462945879464767,0.00023518101882077916,49700.33133432063,11.688574558935821,12.928595999010803,11.57390679263232,0.00023287383568487284,11.57390679263232,False,,,,,11.585989179645834,,176,6.805623960806788e-05,4
mae,medium_attn,6,175,173,10.209058589963352,0.0002793355108284499,49700.33133432063,13.883067441615667,11.765922918889666,11.57390679263232,0.00023287383568487284,11.57390679263232,False,,,,,11.638754412661138,,175,6.614370941668981e-05,5
mae,medium_attn,7,175,171,7.350161356900311,0.0003331485060614028,49700.33133432063,16.557591134785646,10.18087890650355,11.57390679263232,0.00023287383568487284,11.57390679263232,True,,,,,11.606798305175628,,175,0.00010001239827894699,6
wtmad2_eps_gamma_dfs,medium,1,177,178,9.674258305456881,0.00806589261458688,1084.87,8.750444920786867,9.189191642531958,8.915174138633205,0.009106807946478739,9.372689262150915,True,,,,,9.399722618854229,,177,0.007279386531387448,1
wtmad2_eps_gamma_dfs,medium,2,177,176,17.529330700026854,0.010092609479153235,1084.87,10.949169245648969,13.479053248146045,8.915174138633205,0.009106807946478739,9.372689262150915,False,,,,,9.37795811594938,,177,0.013533028082880394,3
wtmad2_eps_gamma_dfs,medium,3,176,174,9.550940072676568,0.010917249781448299,1084.87,11.843796770399814,10.574506619711551,8.915174138633205,0.009106807946478739,9.372689262150915,False,,,,,9.261816185792387,,176,0.011056556098959497,3
wtmad2_eps_gamma_dfs,medium,4,175,173,11.05960910272859,0.010871523929036828,1084.87,11.794190164894182,11.415093952607718,8.915174138633205,0.009106807946478739,9.372689262150915,False,,,,,9.284303880799909,,175,0.01117791328440285,4
wtmad2_eps_gamma_dfs,medium,5,176,174,15.683938955774858,0.010268989188173663,1084.87,11.14051830057396,13.027455302607487,8.915174138633205,0.009106807946478739,9.372689262150915,False,,,,,9.261816185792387,,176,0.013147359767167504,4
wtmad2_eps_gamma_dfs,medium,6,175,173,13.848989058323685,0.009951392464216564,1084.87,10.795967142654623,12.13337362934415,8.915174138633205,0.009106807946478739,9.372689262150915,False,,,,,9.281930754012704,,175,0.01234370168397108,5
wtmad2_eps_gamma_dfs,medium,7,175,171,6.447635799965546,0.0093568513524501,1084.87,10.15096732673254,7.886174498003196,8.915174138633205,0.009106807946478739,9.372689262150915,True,,,,,9.427106397048007,,175,0.01041825293418927,6
wtmad2_eps_gamma_dfs,medium,12,169,165,7.420047136529189,0.009528772472552028,1084.87,10.337479392297517,8.639106830473061,8.915174138633205,0.009106807946478739,9.372689262150915,True,,,,,9.49556848187068,,169,0.010256683474817592,11
wtmad2_eps_gamma_dfs,medium,15,168,161,7.291449309880365,0.009015601804048132,1084.87,9.780755929157696,8.354619109977792,8.915174138633205,0.009106807946478739,9.372689262150915,True,,,,,9.533008817215977,,168,0.009004204644442676,14
wtmad2_eps_gamma_dfs,medium,18,166,160,6.862377208115911,0.009487768361121285,1084.87,10.292995261929647,8.234670067588862,8.915174138633205,0.009106807946478739,9.372689262150915,True,,,,,9.556216282903456,,166,0.009442928131424132,16
wtmad2_eps_gamma_dfs,medium,26,159,155,9.107337024238664,0.0082255176239106,1084.87,8.923617304651891,9.014541192484243,8.915174138633205,0.009106807946478739,9.372689262150915,True,,,,,9.751214035431866,,159,0.007311139520813023,22
wtmad2_eps_gamma_dfs,medium_attn,1,177,178,13.97253881197664,0.008286602398659216,1084.87,8.989886344233422,10.940615810877391,8.915174138633205,0.009106807946478739,9.372689262150915,False,,,,,9.399722618854229,,177,0.00494368537719774,1
wtmad2_eps_gamma_dfs,medium_attn,2,177,176,7.867778854177325,0.008451051753608996,1084.87,9.16829251593779,8.468395842993013,8.915174138633205,0.009106807946478739,9.372689262150915,True,,,,,9.37795811594938,,177,0.006168999311856446,3
wtmad2_eps_gamma_dfs,medium_attn,3,176,174,9.103982113180889,0.008600110090205629,1084.87,9.33000143356138,9.215606160406479,8.915174138633205,0.009106807946478739,9.372689262150915,True,,,,,9.261816185804756,,176,0.006258857978746223,3
wtmad2_eps_gamma_dfs,medium_attn,4,175,173,6.670434107145679,0.009091546663989562,1084.87,9.863146229362355,7.958526305016812,8.915174138633205,0.009106807946478739,9.372689262150915,True,,,,,9.284303880799909,,175,0.006483935683412181,4
wtmad2_eps_gamma_dfs,medium_attn,5,176,174,7.016781507038062,0.007919495181950087,1084.87,8.59162273804219,7.724753741272952,8.915174138633205,0.009106807946478739,9.372689262150915,True,,,,,9.261816185804756,,176,0.007315440772905512,4
wtmad2_eps_gamma_dfs,medium_attn,6,175,173,6.622499848846805,0.008486900462156706,1084.87,9.207183704379945,7.703827115120288,8.915174138633205,0.009106807946478739,9.372689262150915,True,,,,,9.281930754012704,,175,0.007239100097097934,5
wtmad2_eps_gamma_dfs,medium_attn,7,175,171,6.124583748007262,0.008794659533011367,1084.87,9.541062287578042,7.460277717559471,8.915174138633205,0.009106807946478739,9.372689262150915,True,,,,,9.427106397059553,,175,0.006400694568697651,6
