panel,series,x_name,x,y_name,y,raw_indicator
b_ceiling,raw_indicator,tau_over_tau_unif,2.2510080800401844,alpha,0.5843414133735176,0.5843414133735176
b_ceiling,raw_indicator,tau_over_tau_unif,2.2600472529419946,alpha,0.5933805862753281,0.5933805862753281
b_ceiling,raw_indicator,tau_over_tau_unif,2.2692262527410243,alpha,0.6025595860743578,0.6025595860743578
b_ceiling,raw_indicator,tau_over_tau_unif,2.278547242418489,alpha,0.6118805757518221,0.6118805757518221
b_ceiling,raw_indicator,tau_over_tau_unif,2.2880124184147426,alpha,0.6213457517480757,0.6213457517480757
b_ceiling,raw_indicator,tau_over_tau_unif,2.29762401114686,alpha,0.6309573444801934,0.6309573444801934
b_ceiling,raw_indicator,tau_over_tau_unif,2.3073842855342206,alpha,0.640717618867554,0.640717618867554
b_ceiling,raw_indicator,tau_over_tau_unif,2.317295541532224,alpha,0.6506288748655572,0.6506288748655572
b_ceiling,raw_indicator,tau_over_tau_unif,2.3273601146742626,alpha,0.6606934480075961,0.6606934480075961
b_ceiling,raw_indicator,tau_over_tau_unif,2.337580376622078,alpha,0.6709137099554113,0.6709137099554113
b_ceiling,raw_indicator,tau_over_tau_unif,2.347958735724628,alpha,0.6812920690579614,0.6812920690579614
b_ceiling,raw_indicator,tau_over_tau_unif,2.3584976375856033,alpha,0.6918309709189366,0.6918309709189366
b_ceiling,raw_indicator,tau_over_tau_unif,2.369199565639719,alpha,0.7025328989730522,0.7025328989730522
b_ceiling,raw_indicator,tau_over_tau_unif,2.380067041737923,alpha,0.7134003750712563,0.7134003750712563
b_ceiling,raw_indicator,tau_over_tau_unif,2.391102626741657,alpha,0.7244359600749902,0.7244359600749902
b_ceiling,raw_indicator,tau_over_tau_unif,2.4023089211263082,alpha,0.7356422544596414,0.7356422544596414
b_ceiling,raw_indicator,tau_over_tau_unif,2.4136885655939984,alpha,0.7470218989273317,0.7470218989273317
b_ceiling,raw_indicator,tau_over_tau_unif,2.4252442416958506,alpha,0.7585775750291838,0.7585775750291838
b_ceiling,raw_indicator,tau_over_tau_unif,2.4369786724638813,alpha,0.7703120057972147,0.7703120057972147
b_ceiling,raw_indicator,tau_over_tau_unif,2.4488946230526696,alpha,0.7822279563860027,0.7822279563860027
b_ceiling,raw_indicator,tau_over_tau_unif,2.460994901390948,alpha,0.7943282347242815,0.7943282347242815
b_ceiling,raw_indicator,tau_over_tau_unif,2.47328235884328,alpha,0.8066156921766136,0.8066156921766136
b_ceiling,raw_indicator,tau_over_tau_unif,2.4857598908819645,alpha,0.8190932242152975,0.8190932242152975
b_ceiling,raw_indicator,tau_over_tau_unif,2.498430437769338,alpha,0.8317637711026711,0.8317637711026711
b_ceiling,raw_indicator,tau_over_tau_unif,2.5112969852506355,alpha,0.8446303185839686,0.8446303185839686
b_ceiling,raw_indicator,tau_over_tau_unif,2.5243625652575608,alpha,0.8576958985908941,0.8576958985908941
b_ceiling,raw_indicator,tau_over_tau_unif,2.5376302566227475,alpha,0.8709635899560808,0.8709635899560808
