panel,series,x_name,x,y_name,y,Fx
a_residual,s0,alpha,109018.44923851268,abs_delta_Fx,0.0017349062823195371,0.7842415833003609
a_residual,s0,alpha,112201.84543019652,abs_delta_Fx,0.0017349512040345516,0.7842415383786459
a_residual,s0,alpha,115478.19846894582,abs_delta_Fx,0.001734994851214644,0.7842414947314658
a_residual,s0,alpha,118850.22274370189,abs_delta_Fx,0.0017350372600224429,0.784241452322658
a_residual,s0,alpha,122320.71190499325,abs_delta_Fx,0.001735078465592954,0.7842414111170875
a_residual,s0,alpha,125892.54117941661,abs_delta_Fx,0.001735118502066424,0.784241371080614
a_residual,s0,alpha,129568.66975170215,abs_delta_Fx,0.0017351574026118755,0.7842413321800685
a_residual,s0,alpha,133352.1432163324,abs_delta_Fx,0.0017351951994595272,0.7842412943832209
a_residual,s0,alpha,137246.09610075626,abs_delta_Fx,0.0017352319239236635,0.7842412576587567
a_residual,s0,alpha,141253.75446227554,abs_delta_Fx,0.0017352676064299466,0.7842412219762505
a_residual,s0,alpha,145378.43856076605,abs_delta_Fx,0.0017353022765427273,0.7842411873061377
a_residual,s0,alpha,149623.56560944358,abs_delta_Fx,0.0017353359629850296,0.7842411536196954
a_residual,s0,alpha,153992.6526059492,abs_delta_Fx,0.001735368693666084,0.7842411208890143
a_residual,s0,alpha,158489.3192461114,abs_delta_Fx,0.001735400495703976,0.7842410890869764
a_residual,s0,alpha,163117.29092278396,abs_delta_Fx,0.0017354313954462963,0.7842410581872341
a_residual,s0,alpha,167880.4018122559,abs_delta_Fx,0.0017354614184930117,0.7842410281641874
a_residual,s0,alpha,172782.59805078662,abs_delta_Fx,0.001735490589718669,0.7842409989929617
a_residual,s0,alpha,177827.94100389228,abs_delta_Fx,0.001735518933290825,0.7842409706493896
a_residual,s0,alpha,183020.6106311057,abs_delta_Fx,0.001735546472692251,0.7842409431099882
a_residual,s0,alpha,188364.9089489802,abs_delta_Fx,0.0017355732307400284,0.7842409163519404
a_residual,s0,alpha,193865.26359522057,abs_delta_Fx,0.0017355992296019807,0.7842408903530784
a_residual,s0,alpha,199526.2314968883,abs_delta_Fx,0.0017356244908186547,0.7842408650918617
a_residual,s0,alpha,205352.50264571462,abs_delta_Fx,0.0017356490353188647,0.7842408405473615
a_residual,s0,alpha,211348.90398366476,abs_delta_Fx,0.0017356728834367896,0.7842408166992436
a_residual,s0,alpha,217520.40340195244,abs_delta_Fx,0.0017356960549308464,0.7842407935277496
a_residual,s0,alpha,223872.11385683378,abs_delta_Fx,0.0017357185689992338,0.7842407710136812
a_residual,s0,alpha,230409.29760558493,abs_delta_Fx,0.0017357404442936986,0.7842407491383867
a_residual,s0,alpha,237137.37056616554,abs_delta_Fx,0.0017357616989377433,0.7842407278837427
a_residual,s0,alpha,244061.90680419814,abs_delta_Fx,0.0017357823505417258,0.7842407072321387
a_residual,s0,alpha,251188.6431509582,abs_delta_Fx,0.0017358024162139607,0.7842406871664664
a_residual,s0,alpha,258523.48395621887,abs_delta_Fx,0.0017358219125793717,0.784240667670101
a_residual,s0,alpha,266072.5059798814,abs_delta_Fx,0.0017358408557905936,0.7842406487268898
a_residual,s0,alpha,273841.9634264361,abs_delta_Fx,0.001735859261541739,0.7842406303211387
a_residual,s0,alpha,281838.2931264455,abs_delta_Fx,0.0017358771450819432,0.7842406124375985
a_residual,s0,alpha,290068.1198693156,abs_delta_Fx,0.0017358945212264665,0.7842405950614539
a_residual,s0,alpha,298538.26189179573,abs_delta_Fx,0.001735911404372903,0.7842405781783075
a_residual,s0,alpha,307255.7365267452,abs_delta_Fx,0.0017359278085082863,0.7842405617741721
a_residual,s0,alpha,316227.7660168379,abs_delta_Fx,0.0017359437472224126,0.784240545835458
a_residual,s0,alpha,325461.783498046,abs_delta_Fx,0.0017359592337211627,0.7842405303489592
a_residual,s0,alpha,334965.43915782793,abs_delta_Fx,0.0017359742808340517,0.7842405153018464
a_residual,s0,alpha,344746.6065731491,abs_delta_Fx,0.0017359889010286622,0.7842405006816517
a_residual,s0,alpha,354813.389233576,abs_delta_Fx,0.0017360031064166392,0.7842404864762638
